Year,DescrRegione,AgeGroup,Occupati,MacroRegione,Percentage,PercentageOccupati,SummarisedCount
2018,Abruzzo,15+,493923,Sud,0.007869884575026232,6.0738212231460996e-05,Low (11-50)
2018,Abruzzo,15-64,480993,Sud,0.007869884575026232,6.2370970055697e-05,Low (11-50)
2018,Abruzzo,65+,12930,0,0.0,0.0,No deaths
2018,Basilicata,15+,185328,Sud,0.0062959076600209865,0.000129500129500129,Low (11-50)
2018,Basilicata,15-64,180240,Sud,0.0062959076600209865,0.000133155792276964,Low (11-50)
2018,Basilicata,65+,5088,0,0.0,0.0,No deaths
2018,Calabria,15+,540555,Sud,0.013641133263378805,9.6197426718835e-05,Moderate (51-100)
2018,Calabria,15-64,526386,Sud,0.01285414480587618,9.3087582116545e-05,Low (11-50)
2018,Calabria,65+,14169,Sud,0.000786988457502623,0.000211729832733432,Very low (1-10)
2018,Campania,15+,1640948,Sud,0.028593913955928647,6.6425017733651e-05,High (101-500)
2018,Campania,15-64,1592168,Sud,0.02728226652675761,6.5319740127926e-05,High (101-500)
2018,Campania,65+,48780,Sud,0.001311647429171038,0.00010250102501025,Very low (1-10)
2018,Emilia Romagna,15+,1996335,NordEst,0.03279118572927597,6.2614741513824e-05,High (101-500)
2018,Emilia Romagna,15-64,1933976,NordEst,0.028331584470094442,5.5843505813929e-05,High (101-500)
2018,Emilia Romagna,65+,62359,NordEst,0.004459601259181532,0.000272615019483955,Low (11-50)
2018,Friuli Venezia Giulia,15+,507129,NordEst,0.0076075550891920255,5.7184661102007e-05,Low (11-50)
2018,Friuli Venezia Giulia,15-64,492827,NordEst,0.0076075550891920255,5.8844178585994e-05,Low (11-50)
2018,Friuli Venezia Giulia,65+,14302,0,0.0,0.0,No deaths
2018,Lazio,15+,2324973,Centro,0.027806925498426022,4.5591927304102006e-05,High (101-500)
2018,Lazio,15-64,2266442,Centro,0.0267576075550892,4.5004460736255e-05,High (101-500)
2018,Lazio,65+,58531,Centro,0.001049317943336831,6.8339854094411e-05,Very low (1-10)
2018,Liguria,15+,601566,NordOvest,0.012067156348373555,7.6467087568113e-05,Low (11-50)
2018,Liguria,15-64,580429,NordOvest,0.011280167890870933,7.4083135060446e-05,Low (11-50)
2018,Liguria,65+,21137,NordOvest,0.000786988457502623,0.000141931210673227,Very low (1-10)
